Artist,Song,Genre,Song ID,Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Valence,,
The Shins,A Comet Appears,indie rock,1egU2OWYiTLJmV3cshqwrO,0.413,0.207,0.0349,0.925,0.00000145,0.244,,
The Shins,Australia,indie rock,6OwwTVRndoy9aoDxsmrteR,0.427,0.824,0.0374,0.00434,0.000199,0.846,,
The Walters,I Love You So,chicago indie,1175r6ZmkUjX8dRJLz9Ohk,0.578,0.669,0.0377,0.65,0,0.503,,
Two Door Cinema Club,What You Know,modern rock,3UjtIALeg72qmJiKPWBvM3,0.561,0.741,0.0419,0.000715,0.000014,0.776,,
Two Door Cinema Club,Undercover Martyn,modern rock,0Hrd6CSafHHqKptyFppmqH,0.442,0.872,0.123,0.00025,0.0000174,0.568,,
Vampire Weekend,Campus,indie rock,7ui9Qq4JcPGcd3xWOeXhHp,0.524,0.709,0.0632,0.224,0.193,0.584,,
Vista Kicks,If I Didn't Have You,la indie,10UrwRvVbNsHiw1UGBiMjV,0.38,0.544,0.0315,0.251,0.237,0.124,,
Vista Kicks,Gimme Love,la indie,3CUovld1O1HdAOrkgMlvNx,0.676,0.785,0.0288,0.00242,0.0000253,0.818,,
Vista Kicks,Marceline,la indie,3OJ0qtEbfXrqSWizwfKkaZ,0.674,0.588,0.0403,0.179,0.00000144,0.585,,
Vista Kicks,Gotta Get Away,la indie,4zZevibls6fNqpMGK7ItPN,0.721,0.802,0.0366,0.0638,0.0293,0.901,,
Vista Kicks,Mona Lisa,la indie,0JwTjwJymg6FGxBAAzuZ1Q,0.574,0.871,0.0416,0.299,0.0000295,0.856,,
Wabie,Hey Lover!,bedroom pop,7rC3P7tpWriaC4hYWKwGQd,0.586,0.744,0.0508,0.00614,0.000172,0.523,,
Wallice,Punching Bag,indie pop,68LD7fYCVnACJtnLKHd3Q9,0.621,0.766,0.0392,0.433,0.0000092,0.612,,
Wallows,1980s Horror Film 2,indie pop,3VzULnaqPKf1deQyZ5W4Ah,0.593,0.658,0.0304,0.0038,0.0126,0.27,,
Wallows,Pleaser,indie pop,11zf7m4vw9Ze7cer9Nyhk1,0.497,0.914,0.0455,0.126,0.0000198,0.385,,
Wallows,Drunk on Halloween,indie pop,0z9dPcBhJvqO06QMaKelUE,0.631,0.634,0.0247,0.231,0.000013,0.774,,
Wallows,Remember When,indie pop,5naar7XewEOAjOywIp6Jjq,0.504,0.708,0.0343,0.00112,0.000424,0.51,,
Wallows,1980s Horror Film ,indie pop,3HkrEKcOPMBmUemERvy8pq,0.477,0.242,0.0318,0.643,0.00491,0.106,,
Wallows and Clairo,Are You Bored Yet?,indie pop,57RA3JGafJm5zRtKJiKPIm,0.682,0.683,0.0287,0.156,0.0000232,0.64,,
Wilco,You and I,indie rock,2fdMAIsNH4wY7RRda8aCfL,0.71,0.652,0.0294,0.285,0.0000287,0.597,,
Wilco,I'll Fight,indie rock,5ZSD1YPoTzDo9NzpuZrUjQ,0.644,0.725,0.0346,0.276,0.00000288,0.678,,
WILLOW,Warm Honey,pop,2fsQGg0FeTVHdaIkKIxSFF,0.601,0.506,0.0335,0.512,0.00000335,0.254,,
WILLOW,Marceline,pop,0RCpze7hmowZIGUJs9Dm7w,0.686,0.45,0.102,0.252,0.000097,0.23,,
WILLOW,Meet Me At Our Spot,pop,07MDkzWARZaLEdKxo6yArG,0.773,0.47,0.0299,0.0153,0.000193,0.399,,
Yellow Days,A Little While,bedroom pop,1ahzHj4rfljE8w4ZwpEjOM,0.577,0.604,0.0332,0.182,0.00211,0.351,,
Zella Day,You Sexy Thing,quaze pop,53gmKxWnHnaT08COPRyaxc,0.683,0.485,0.0505,0.296,0.000389,0.429,,
Zella Day,Sweet Ophelia,quaze pop,1jPZgfC9tWFNf7iBGdrTPV,0.573,0.967,0.0521,0.0724,0.000524,0.168,,
Zella Day,Only A Dream,quaze pop,1EmJZWaAuk8p3NfoS8l9vI,0.509,0.498,0.0325,0.668,0.000738,0.355,,
Zella Day,Dance For Love,quaze pop,7hredXafMauuh15FNDEPnQ,0.696,0.758,0.038,0.005,0.00197,0.00197,,
